TYPE_CALL,OUTGOING_NUMBER,INCOMING_NUMBER,START_CALL,END_CALL
01,78022310055,79937898253,2025-01-19T07:55:14.742392,2025-01-19T07:58:14.742392
01,79937898253,79215433129,2024-11-07T18:33:14.742392,2024-11-07T18:36:12.742392
01,79937898253,76542317755,2024-07-30T00:56:14.742392,2024-07-30T01:00:58.742392
01,79937898253,77778889905,2024-05-05T10:59:14.742392,2024-05-05T10:59:43.742392
01,79215433129,79937898253,2024-04-03T19:24:14.742392,2024-04-03T19:27:01.742392
02,79204188253,79937898253,2024-06-23T03:22:14.742392,2024-06-23T03:24:36.742392
02,79301110085,79937898253,2024-07-25T03:54:14.742392,2024-07-25T03:58:57.742392
02,79215433129,79937898253,2024-12-03T09:17:14.742392,2024-12-03T09:20:20.742392
02,79937898253,79931125707,2024-08-13T07:24:14.742392,2024-08-13T07:27:55.742392
02,79204188253,79937898253,2024-12-08T01:39:14.742392,2024-12-08T01:41:04.742392
01,79937898253,79607843242,2024-03-26T04:10:14.742392,2024-03-26T04:10:49.742392
01,78125553113,79937898253,2024-09-30T10:44:14.742392,2024-09-30T10:47:02.742392
01,79204188253,79937898253,2024-06-06T05:24:14.742392,2024-06-06T05:27:55.742392
01,79937898253,77778889905,2024-06-24T22:33:14.742392,2024-06-24T22:34:38.742392
01,78125553113,79937898253,2024-12-23T20:21:14.742392,2024-12-23T20:25:30.742392
01,79937898253,78125553113,2024-04-27T04:47:14.742392,2024-04-27T04:52:09.742392
02,79931125707,79937898253,2024-11-28T21:33:14.742392,2024-11-28T21:33:51.742392
